avgBillAmount,rentRegularity,utilityRegularity,monthsHistory,label
7781.29,0.025,0.275,15,0
1499.19,0.741,0.545,28,0
1396.23,0.233,0.602,36,1
7903.65,0.545,0.22,18,0
376.04,0.806,0.698,22,1
2819.17,0.763,0.102,25,1
10215.68,0.604,0.807,30,1
11685.45,0.379,0.552,24,0
8543.49,0.046,0.228,19,0
10307.22,0.866,0.38,30,1
4568.54,0.37,0.21,18,0
8297.51,0.071,0.635,35,0
2211.81,0.379,0.99,36,1
4094.11,0.768,0.056,3,0
4993.63,0.066,0.913,21,1
6141.01,0.885,0.643,10,1
3185.54,0.561,0.263,28,1
4972.99,0.219,0.998,33,1
9142.65,0.861,0.153,11,0
5239.27,0.064,0.382,30,0
11661.62,0.861,0.011,8,0
6582.55,0.267,0.641,8,0
2150.45,0.003,0.722,17,0
9214.96,0.508,0.106,20,0
6239.66,0.199,0.374,11,0
9409.93,0.53,0.001,21,0
1608.85,0.363,0.985,20,1
3118.2,0.567,0.079,32,0
11742.42,0.533,0.126,31,0
2231.99,0.528,0.607,14,1
9136.6,0.69,0.713,26,1
7903.57,0.438,0.518,8,0
1049.1,0.021,0.554,15,1
8581.74,0.059,0.067,3,0
1129.03,0.238,0.669,14,0
8763.23,0.882,0.576,16,1
9747.71,0.19,0.097,28,0
5109.9,0.864,0.054,7,1
8820.1,0.801,0.109,13,0
5548.78,0.422,0.279,16,0
1182.0,0.808,0.856,7,0
11991.6,0.836,0.969,16,1
5982.0,0.214,0.401,4,0
325.22,0.39,0.927,30,1
8450.12,0.731,0.783,32,1
3771.48,0.969,0.579,35,0
3969.18,0.05,0.477,34,0
11541.11,0.08,0.186,5,0
3051.89,0.12,0.89,16,0
764.98,0.082,0.657,34,0
3350.96,0.67,0.314,17,1
8158.78,0.3,0.316,5,1
7567.56,0.563,0.1,35,0
3402.84,0.933,0.881,16,1
2145.64,0.834,0.704,34,0
9860.12,0.299,0.663,9,0
10709.64,0.742,0.155,19,0
8696.06,0.204,0.634,17,0
3238.12,0.908,0.051,28,1
815.82,0.334,0.131,17,0
5469.48,0.706,0.561,8,0
10632.34,0.904,0.546,24,1
2032.7,0.127,0.308,3,0
2757.9,0.25,0.103,36,0
5054.62,0.621,0.155,16,0
11721.61,0.811,0.881,2,1
11116.5,0.782,0.412,16,1
9512.28,0.108,0.872,31,0
9854.06,0.46,0.305,15,0
8022.39,0.398,0.279,5,0
3565.76,0.641,0.4,35,1
622.93,0.877,0.261,17,0
7279.88,0.346,0.786,28,1
6283.65,0.385,0.577,17,0
5401.87,0.52,0.807,13,1
1118.69,0.664,0.33,21,1
1758.12,0.9,0.507,27,1
8457.34,0.554,0.192,25,0
10862.82,0.616,0.301,36,1
3855.34,0.21,0.786,21,1
5473.27,0.214,0.473,11,0
3620.3,0.664,0.619,6,1
9088.32,0.673,0.225,13,0
840.7,0.984,0.611,5,1
10667.8,0.576,0.718,25,1
3154.62,0.656,0.006,7,0
2860.44,0.804,0.696,30,0
3215.62,0.848,0.456,30,1
11858.34,0.595,0.95,29,1
8715.51,0.505,0.831,36,1
2162.15,0.861,0.45,16,1
3544.54,0.778,0.485,16,1
1206.56,0.286,0.272,21,0
1242.76,0.151,0.383,10,0
1051.48,0.408,0.543,27,0
10044.83,0.389,0.77,2,0
9257.46,0.38,0.006,23,0
4862.84,0.892,0.836,35,1
6689.75,0.603,0.221,15,0
5982.01,0.389,0.669,26,1
10133.92,0.92,0.981,35,0
4910.04,0.564,0.027,28,0
5701.87,0.05,0.379,14,0
4248.76,0.88,0.278,27,1
1258.3,0.019,0.539,23,0
1102.83,0.957,0.04,2,0
2632.52,0.02,0.152,9,0
1638.36,0.948,0.465,17,1
2263.13,0.607,0.748,8,1
2216.06,0.311,0.579,20,1
10923.91,0.375,0.941,13,0
8380.19,0.627,0.102,20,0
7324.82,0.121,0.984,3,0
5312.02,0.371,0.506,22,0
5214.69,0.49,0.434,24,1
9995.88,0.707,0.435,34,1
3459.96,0.808,0.538,31,1
9961.09,0.592,0.322,16,0
1313.96,0.882,0.244,30,1
8117.81,0.336,0.494,21,0
2781.8,0.798,0.34,18,1
6344.54,0.191,0.241,27,0
9170.53,0.691,0.646,32,1
501.75,0.294,0.404,16,0
7104.2,0.473,0.531,28,1
6739.55,0.352,0.454,20,0
1711.67,0.193,0.12,35,0
8374.91,0.192,0.739,18,0
11726.3,0.525,0.283,7,0
3766.08,0.361,0.302,35,0
832.53,0.055,0.292,9,0
9107.67,0.103,0.012,19,0
5453.48,0.184,0.051,31,0
1064.52,0.492,0.577,4,0
9790.36,0.949,0.085,16,1
9243.99,0.606,0.791,15,1
4750.42,0.909,0.297,28,1
7566.02,0.61,0.74,14,1
3396.36,0.081,0.24,36,1
331.31,0.451,0.594,19,0
3670.83,0.283,0.86,5,0
11109.76,0.788,0.625,13,1
6671.38,0.648,0.908,10,0
2241.3,0.308,0.749,19,1
5783.77,0.304,0.403,18,0
6077.4,0.08,0.04,28,0
7363.45,0.026,0.229,2,0
8165.69,0.27,0.04,12,0
7922.66,0.916,0.181,28,1
6053.19,0.091,0.348,22,0
1523.82,0.161,0.412,32,0
11358.76,0.814,0.55,30,1
3253.07,0.116,0.773,33,1
313.47,0.869,0.462,4,1
4532.82,0.756,0.625,4,1
6725.87,0.928,0.438,32,1
11685.82,0.609,0.239,11,0
459.99,0.408,0.225,8,0
1674.35,0.832,0.498,19,1
3499.07,0.835,0.98,16,1
1992.31,0.191,0.599,9,0
3532.09,0.79,0.415,33,1
330.01,0.726,0.837,32,1
5524.6,0.484,0.332,35,1
11214.37,0.87,0.981,16,1
3032.68,0.776,0.044,31,1
9793.48,0.386,0.664,10,0
733.13,0.502,0.59,7,0
5451.58,0.526,0.457,10,0
7960.94,0.154,0.469,17,0
8404.64,0.65,0.852,35,1
4004.94,0.719,0.759,35,0
1100.52,0.631,0.921,15,1
5377.47,0.098,0.634,7,0
8419.81,0.903,0.046,4,0
4685.64,0.146,0.531,12,0
1223.93,0.871,0.62,16,1
7122.94,0.232,0.638,30,1
409.95,0.805,0.901,35,1
5468.24,0.346,0.588,28,1
5644.98,0.302,0.999,31,1
4761.96,0.359,0.296,19,1
10011.44,0.396,0.008,4,0
9018.51,0.833,0.903,15,1
4422.16,0.637,0.621,9,1
10869.82,0.646,0.309,29,0
4568.88,0.131,0.91,21,1
2354.99,0.132,0.539,24,0
10987.8,0.83,0.257,31,1
3753.15,0.87,0.804,30,1
1946.86,0.967,0.86,26,1
9713.68,0.366,0.791,1,0
1745.99,0.369,0.749,17,1
9922.28,0.94,0.108,15,1
7548.7,0.943,0.328,15,1
